Product_URL,Brand,Description,Id_Product,URL_image,Category_by_gender,Discount Price (in Rs.),Original Price (in Rs.),Color
https://www.ajio.com/u-s-polo-assn-washed-skinny-fit-jeans/p/469079321_blue,u-s-polo-assn-,Washed Skinny Fit Jeans,4.69E+11,https://assets.ajio.com/medias/sys_master/root/20220212/upok/6206be24f997dd03e2ccc1ed/-286Wx359H-469079321-blue-MODEL.jpg,Men,980,"1,999",blue
https://www.ajio.com/netplay-oxford-shirt-with-button-down-collar/p/440946631_blue,netplay,Oxford Shirt With Button-Down Collar,4.41E+11,https://assets.ajio.com/medias/sys_master/root/h11/hc9/12742386188318/-286Wx359H-440946631-blue-MODEL.jpg,Men,799,999,blue
https://www.ajio.com/teamspirit-typographic-print-crew-neck-t-shirt/p/441118446_maroon,teamspirit,Typographic Print Crew-Neck T-shirt,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210803/hmVf/610872967cdb8cb824e7e6a4/-286Wx359H-441118446-maroon-MODEL.jpg,Men,288,599,maroon
https://www.ajio.com/teamspirit-basketball-shorts-with-elasticated-waistband/p/441118443_navy,teamspirit,Basketball Shorts with Elasticated Waistband,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210401/HY3W/6065e1c07cdb8c1f147315d4/-286Wx359H-441118443-navy-MODEL.jpg,Men,392,799,navy
https://www.ajio.com/netplay-checked-band-collar-shirt-with-patch-pocket/p/441124084_red,netplay,Checked Band-Collar Shirt with Patch Pocket,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20211106/cwMq/618581d2aeb2690110b9e767/-286Wx359H-441124084-red-MODEL.jpg,Men,490,999,red
https://www.ajio.com/teamspirit-typographic-print-shorts-with-slip-pockets/p/441113672_maroon,teamspirit,Typographic Print Shorts with Slip Pockets,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210218/E2EC/602d75f0aeb269698167b42c/-286Wx359H-441113672-maroon-MODEL.jpg,Men,419,499,maroon
https://www.ajio.com/performax-typographic-print-track-pants-with-insert-pockets/p/441136763_medgrey,performax,Typographic Print Track Pants with Insert Pockets,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20220408/6Bbw/624f4cd0f997dd03e24e6fab/-286Wx359H-441136763-medgrey-MODEL.jpg,Men,974,"1,299",medgrey
https://www.ajio.com/teamspirit-crew-neck-t-shirt-with-thumbhole-sleeves/p/441125913_charcoal,teamspirit,Crew-Neck T-shirt with Thumbhole Sleeves,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20211103/8qJE/61819fd6f997ddf8f1f84b1a/-286Wx359H-441125913-charcoal-MODEL.jpg,Men,587,699,charcoal
https://www.ajio.com/dennislingo-premium-attire-full-sleeves-slim-fit-shirt/p/462103471_blue,dennislingo-premium-attire,Full Sleeves Slim Fit Shirt,4.62E+11,https://assets.ajio.com/medias/sys_master/root/20210309/CRcf/60474526aeb26969817e5170/-286Wx359H-462103471-blue-MODEL.jpg,Men,684,"1,849",blue
https://www.ajio.com/teamspirit-striped-crew-neck-t-shirt/p/441126308_navy,teamspirit,Striped Crew-Neck T-shirt,4.41E+11,https://assets.ajio.com/medias/sys_master/root/20210814/sdzp/6116c310f997ddce899e7577/-286Wx359H-441126308-navy-MODEL.jpg,Men,461,549,navy
